Fator_sul,Fator_sudeste,Fator_cap,Probabilidade
0.4820132297,0.6206023122,0.2976649043,0.01632420091
0.6307178926,0.7509048341,0.2543297497,0.0147260274
0.4715686826,0.5993723483,0.3452269718,0.01369863014
0.6384461832,0.7237977283,0.2053443124,0.01369863014
0.6439569169,0.7609483352,0.3112156372,0.01301369863
0.6740068091,0.7928865493,0.3365913722,0.01301369863
0.6993824138,0.756000358,0.2929317202,0.01278538813
0.6264166247,0.7175073809,0.2963773161,0.01267123288
0.5791851317,0.7168529274,0.2705495324,0.01267123288
0.6786808608,0.7493668833,0.3608282579,0.01210045662
0.6738557575,0.7103436125,0.2609724569,0.01198630137
0.4192775737,0.5557880516,0.3249691052,0.01187214612
0.552306404,0.6419905155,0.2449517062,0.01175799087
0.5485127536,0.6277955784,0.3073960781,0.01164383562
0.6520678607,0.7029979176,0.348536224,0.01164383562
0.7064170464,0.7649026666,0.2315629207,0.01152968037
0.6121193299,0.7184138175,0.3987241861,0.01130136986
0.6048476044,0.7353653861,0.3419035802,0.01130136986
0.4922459704,0.654130108,0.3519150791,0.01118721461
0.5758527286,0.6691836615,0.2913628641,0.01095890411
0.4389907728,0.5531647576,0.3773221779,0.01084474886
0.7032608191,0.8087049278,0.2815535354,0.01084474886
0.6700798705,0.7840730846,0.3984159862,0.01073059361
0.4350625459,0.5868951397,0.2751717021,0.01061643836
0.5599092876,0.6848853767,0.223912835,0.01050228311
0.5136131421,0.6772354689,0.2724096179,0.01050228311
0.5372209624,0.6876126309,0.325588026,0.01038812785
0.5717782597,0.7357238686,0.2174517222,0.0102739726
0.4566859794,0.5998370356,0.2132175483,0.009931506849
0.6585153063,0.7692990028,0.1880414781,0.009931506849
0.5711604612,0.6622287174,0.3777861903,0.009817351598
0.5036161012,0.6043912632,0.2389254604,0.009817351598
0.5981266314,0.6884482788,0.1787273811,0.009703196347
0.4834041153,0.6205642889,0.3991854831,0.009703196347
0.6574721014,0.7927455629,0.2375947184,0.009589041096
0.4423290539,0.5911160151,0.4162479004,0.009474885845
0.6223515033,0.6768456671,0.2515131815,0.009474885845
0.7144761892,0.8099200759,0.1715904753,0.009474885845
0.7577943533,0.8009343459,0.2176685358,0.009360730594
0.7313551734,0.8016933643,0.3239712515,0.009246575342
0.4499593616,0.5503853106,0.1896808291,0.009132420091
0.5917206444,0.6894314715,0.3424560578,0.008904109589
0.4773538144,0.5733870264,0.3046304463,0.008675799087
0.7543576545,0.7939532187,0.2730567347,0.008675799087
0.4427273822,0.5438283218,0.2587752162,0.008675799087
0.5684448435,0.6949099292,0.4335332686,0.008561643836
0.4662918189,0.6405677342,0.2406806466,0.008219178082
0.6980995558,0.8224694976,0.2247960694,0.008105022831
0.7363477716,0.8465524385,0.254899113,0.00799086758
0.5402329082,0.7160517019,0.3809479615,0.00799086758
0.5222856892,0.6631225925,0.4104307241,0.007762557078
0.6119160857,0.766489306,0.4262436537,0.007648401826
0.6403966183,0.8059247568,0.2921695854,0.007534246575
0.5607217608,0.6165512693,0.3630924681,0.007534246575
0.5149448929,0.6542914988,0.2033843839,0.007534246575
0.6014283387,0.7699054184,0.3711081864,0.007420091324
0.5637053282,0.6508515282,0.1839993383,0.007420091324
0.6174509935,0.6743253247,0.4067936768,0.007420091324
0.699162251,0.8185329361,0.3853592195,0.007420091324
0.7013564187,0.7109251401,0.3809795466,0.007305936073
0.4954840481,0.5698391152,0.3958970166,0.007191780822
0.7013765525,0.843932073,0.3079311701,0.006849315068
0.6641900315,0.7457176585,0.4321452592,0.006849315068
